Sequence ID|Subtitle Text (English)|
a2s2c07|The second act started as smoothly as the first. But near the end, Sam began to feel... a little odd.|
a2s2c08|They glanced up at their sticks, and saw strings hanging off their own hands. |
a2s2c09|Sam watched, horrified, as the threads lengthened toward the ceiling and into the sky.|
a2s2c10|Pretty soon their hands were made of wood, and the world was growing bigger around them. Or... no! Sam was shrinking!|
a2s2c11|In this moment of realization, a voice rang out high above Sam, familiar yet strange.|
a2s2c12|"[Richard] ""You. Were. FANTASTIC!"""|
a2s2c13|"[Richard] ""What a splendid job you did! Truly, I had tears in my eyes. You will make an excellent addition to my collection."""|
a2s2c14|Sam hung helpless as they were drawn toward the toy chest of the puppet collector whose name was Richard.|
a2s2c15|All the while Richard laughed great cackling laughs, and the audience picked it up and formed a rippling echo.|
a2s2c16|Gradually the voices dissolved; the world faded to black.|
a2s2c17|And the lid closed with one final click|
